Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø HF,Max. HF,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Kletterzeit,Grundzeit,Min. Temp.,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Läufe,Max. Temp.
Laufen,2019-08-13 20:29:51,false,"Aalen Laufen","8.77","683","01:00:06","143","166","3.7","161","166","6:51","5:14","44","39","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","05:47.87","9","0.0"
Laufen,2019-08-11 09:08:17,false,"Aalen Laufen","9.58","642","00:52:20","161","178","4.5","166","229","5:28","4:36","119","125","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","03:12.90","10","0.0"
Laufen,2019-08-08 19:42:06,false,"Aalen Laufen","4.46","320","00:26:05","160","183","3.4","161","178","5:51","4:12","90","48","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","02:21.59","5","0.0"
Laufen,2019-08-03 20:17:52,false,"Aalen Laufen","15.17","977","01:19:14","165","179","5.0","167","175","5:13","4:47","42","60","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:57.56","16","0.0"
Laufen,2019-08-01 19:36:01,false,"Aalen Laufen","9.29","653","00:54:26","160","183","4.4","165","169","5:51","5:11","69","53","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:49.08","10","0.0"
Laufen,2019-07-26 04:02:14,false,"Aalen Laufen","15.28","987","01:21:51","164","175","5.0","166","173","5:22","4:45","42","69","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:29.70","16","0.0"
Laufen,2019-07-24 19:07:53,false,"Aalen Laufen","9.19","700","00:59:25","157","178","4.3","159","237","6:28","5:30","171","168","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:13.96","10","0.0"
Laufen,2019-07-21 19:56:10,false,"Aalen Laufen","6.47","439","00:38:11","153","174","3.5","162","171","5:54","4:56","136","130","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","02:29.08","7","0.0"
Laufen,2019-07-18 20:13:54,false,"Aalen Laufen","13.20","886","01:12:15","161","186","5.0","163","169","5:28","4:54","34","55","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:06.54","14","0.0"
Laufen,2019-07-10 19:27:24,false,"Aalen Laufen","5.22","341","00:26:44","166","184","3.8","164","169","5:08","4:26","9","28","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:12.24","6","0.0"
Laufen,2019-06-30 07:21:21,false,"Aalen Laufen","10.06","646","00:53:32","162","178","4.6","165","172","5:19","4:31","17","35","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:15.54","11","0.0"
Laufen,2019-06-19 10:19:01,false,"Hüttingen - Bahnhof Speicher - Hüttingen ","18.20","1,249","01:44:16","164","184","5.0","163","232","5:44","4:21","257","277","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:09.44","19","0.0"
Laufen,2019-06-12 19:43:58,false,"Aalen - Innenstadt ","8.22","568","00:46:32","164","176","4.4","162","167","5:40","5:05","19","38","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","01:29.76","9","0.0"
Laufen,2019-06-06 20:17:03,false,"Aalen Laufen","10.02","672","00:55:04","164","182","4.7","165","173","5:30","4:42","30","35","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:09.83","11","0.0"
